Date,TotalVolume,region,lon,lat
1/24/2016,96089.13,Albany,42.6511674,-73.754968
1/24/2016,1506.87,Albany,42.6511674,-73.754968
1/24/2016,528776.51,Atlanta,33.7490987,-84.3901849
1/24/2016,6193.73,Atlanta,33.7490987,-84.3901849
1/24/2016,1022653.39,Baltimore Washington,39.2908816,-76.610759
1/24/2016,18287.57,Baltimore Washington,39.2908816,-76.610759
1/24/2016,58434.39,Boise,43.61656,-116.200835
1/24/2016,1117.32,Boise,43.61656,-116.200835
1/24/2016,670376.77,Boston,42.3602534,-71.0582912
1/24/2016,8850.23,Boston,42.3602534,-71.0582912
1/24/2016,147469.99,Buffalo Rochester,43.1519085,-77.659047
1/24/2016,2039.63,Buffalo Rochester,43.1519085,-77.659047
1/24/2016,6246380.73,California,36.7014631,-118.7559974
1/24/2016,154438.32,California,36.7014631,-118.7559974
1/24/2016,207961.33,Charlotte,35.2270869,-80.8431268
1/24/2016,3735.44,Charlotte,35.2270869,-80.8431268
1/24/2016,794029.7,Chicago,41.8755616,-87.6244212
1/24/2016,25004.87,Chicago,41.8755616,-87.6244212
1/24/2016,252317.23,Cincinnati Dayton,39.1099604,-84.537681
1/24/2016,11874.46,Cincinnati Dayton,39.1099604,-84.537681
1/24/2016,213215.4,Columbus,39.9622601,-83.0007065
1/24/2016,6522.27,Columbus,39.9622601,-83.0007065
1/24/2016,676032.04,Dallas Fort Worth,32.58958,-96.9697268
1/24/2016,14155.9,Dallas Fort Worth,32.58958,-96.9697268
1/24/2016,1195521.28,Denver,39.7391428,-104.984696
1/24/2016,45127.01,Denver,39.7391428,-104.984696
1/24/2016,489584.58,Detroit,42.3315509,-83.0466403
1/24/2016,13050.86,Detroit,42.3315509,-83.0466403
1/24/2016,260598.64,Grand Rapids,42.9632405,-85.6678639
1/24/2016,2363.97,Grand Rapids,42.9632405,-85.6678639
1/24/2016,269859.91,Harrisburg Scranton,41.4086874,-75.6621294
1/24/2016,7830.1,Harrisburg Scranton,41.4086874,-75.6621294
1/24/2016,317932.59,Hartford Springfield,42.1184111,-72.8573671
1/24/2016,4508.3,Hartford Springfield,42.1184111,-72.8573671
1/24/2016,867294.64,Houston,29.7589382,-95.3676974
1/24/2016,10504.4,Houston,29.7589382,-95.3676974
1/24/2016,168035.39,Indianapolis,39.7683331,-86.1583502
1/24/2016,3585.33,Indianapolis,39.7683331,-86.1583502
1/24/2016,192194.31,Jacksonville,30.3321838,-81.655651
1/24/2016,2934.24,Jacksonville,30.3321838,-81.655651
1/24/2016,158978.46,Las Vegas,36.1662859,-115.149225
1/24/2016,9297.5,Las Vegas,36.1662859,-115.149225
1/24/2016,3173509.36,Los Angeles,34.0536834,-118.2427669
1/24/2016,79706.09,Los Angeles,34.0536834,-118.2427669
1/24/2016,120304.63,Louisville,38.2542376,-85.759407
1/24/2016,1929.38,Louisville,38.2542376,-85.759407
1/24/2016,611557.77,Miami Ft Lauderdale,26.0917308,-80.1359398
1/24/2016,3020.48,Miami Ft Lauderdale,26.0917308,-80.1359398
1/24/2016,167159.24,Nashville,36.1622296,-86.7743531
1/24/2016,6554.54,Nashville,36.1622296,-86.7743531
1/24/2016,228086.1,New Orleans,29.9499323,-90.0701156
1/24/2016,3903.11,New Orleans,29.9499323,-90.0701156
1/24/2016,1429242.83,New York,40.7308619,-73.9871558
1/24/2016,28121.46,New York,40.7308619,-73.9871558
1/24/2016,399751.64,Orlando,28.5421097,-81.3790388
1/24/2016,4767.81,Orlando,28.5421097,-81.3790388
1/24/2016,448784.3,Philadelphia,39.9524152,-75.1635755
1/24/2016,11722.26,Philadelphia,39.9524152,-75.1635755
1/24/2016,1016720.53,Phoenix Tucson,32.1706314,-110.8767957
1/24/2016,9059.12,Phoenix Tucson,32.1706314,-110.8767957
1/24/2016,96487.8,Pittsburgh,40.4416941,-79.9900861
1/24/2016,1940.08,Pittsburgh,40.4416941,-79.9900861
1/24/2016,596989.37,Portland,45.5202471,-122.6741949
1/24/2016,17724.75,Portland,45.5202471,-122.6741949
1/24/2016,242512.95,Raleigh Greensboro,36.080299,-79.758384
1/24/2016,5276.31,Raleigh Greensboro,36.080299,-79.758384
1/24/2016,272314.29,Richmond Norfolk,37.5675205,-77.4674126
1/24/2016,5064.84,Richmond Norfolk,37.5675205,-77.4674126
1/24/2016,143015.44,Roanoke,37.274532,-79.96020968
1/24/2016,4774.87,Roanoke,37.274532,-79.96020968
1/24/2016,409324.93,Sacramento,38.5815719,-121.4943996
1/24/2016,7361.79,Sacramento,38.5815719,-121.4943996
1/24/2016,564637.66,San Diego,32.7174209,-117.1627714
1/24/2016,15316.04,San Diego,32.7174209,-117.1627714
1/24/2016,844417.47,San Francisco,37.7647993,-122.4629897
1/24/2016,24292.32,San Francisco,37.7647993,-122.4629897
1/24/2016,726078.64,Seattle,47.6038321,-122.3300624
1/24/2016,26516.63,Seattle,47.6038321,-122.3300624
1/24/2016,317032.31,South Carolina,33.6874388,-80.4363743
1/24/2016,5939.18,South Carolina,33.6874388,-80.4363743
1/24/2016,89537.48,Spokane,47.6579425,-117.4212265
1/24/2016,1955.39,Spokane,47.6579425,-117.4212265
1/24/2016,167619.96,St Louis,38.6272733,-90.1978889
1/24/2016,15106.42,St Louis,38.6272733,-90.1978889
1/24/2016,64280.43,Syracuse,43.0481221,-76.1474244
1/24/2016,809.41,Syracuse,43.0481221,-76.1474244
1/24/2016,503528.16,Tampa,27.9477595,-82.458444
1/24/2016,3907.4,Tampa,27.9477595,-82.458444
1/24/2016,296402.96,West Texas New Mexico,26.2711968,-98.3266103
1/24/2016,12171.04,West Texas New Mexico,26.2711968,-98.3266103
