Date,TotalVolume,region,lon,lat
7/10/2016,131630.13,Albany,42.6511674,-73.754968
7/10/2016,2173.2,Albany,42.6511674,-73.754968
7/10/2016,560865.26,Atlanta,33.7490987,-84.3901849
7/10/2016,17311.07,Atlanta,33.7490987,-84.3901849
7/10/2016,831187.91,Baltimore Washington,39.2908816,-76.610759
7/10/2016,17213.93,Baltimore Washington,39.2908816,-76.610759
7/10/2016,132511.44,Boise,43.61656,-116.200835
7/10/2016,4729.39,Boise,43.61656,-116.200835
7/10/2016,549815.44,Boston,42.3602534,-71.0582912
7/10/2016,12513.05,Boston,42.3602534,-71.0582912
7/10/2016,183741.31,Buffalo Rochester,43.1519085,-77.659047
7/10/2016,5061.84,Buffalo Rochester,43.1519085,-77.659047
7/10/2016,6721690.88,California,36.7014631,-118.7559974
7/10/2016,213417.87,California,36.7014631,-118.7559974
7/10/2016,233262.16,Charlotte,35.2270869,-80.8431268
7/10/2016,5664.83,Charlotte,35.2270869,-80.8431268
7/10/2016,712080.66,Chicago,41.8755616,-87.6244212
7/10/2016,12651.27,Chicago,41.8755616,-87.6244212
7/10/2016,266811.55,Cincinnati Dayton,39.1099604,-84.537681
7/10/2016,24427.23,Cincinnati Dayton,39.1099604,-84.537681
7/10/2016,170762.71,Columbus,39.9622601,-83.0007065
7/10/2016,11572.14,Columbus,39.9622601,-83.0007065
7/10/2016,1080238.02,Dallas Fort Worth,32.58958,-96.9697268
7/10/2016,17788.81,Dallas Fort Worth,32.58958,-96.9697268
7/10/2016,835116.1,Denver,39.7391428,-104.984696
7/10/2016,37036.32,Denver,39.7391428,-104.984696
7/10/2016,311241.09,Detroit,42.3315509,-83.0466403
7/10/2016,24521.13,Detroit,42.3315509,-83.0466403
7/10/2016,133747.66,Grand Rapids,42.9632405,-85.6678639
7/10/2016,1909.68,Grand Rapids,42.9632405,-85.6678639
7/10/2016,274783.17,Harrisburg Scranton,41.4086874,-75.6621294
7/10/2016,7574.45,Harrisburg Scranton,41.4086874,-75.6621294
7/10/2016,292611.92,Hartford Springfield,42.1184111,-72.8573671
7/10/2016,9578.06,Hartford Springfield,42.1184111,-72.8573671
7/10/2016,1101543.61,Houston,29.7589382,-95.3676974
7/10/2016,25644.01,Houston,29.7589382,-95.3676974
7/10/2016,191786.29,Indianapolis,39.7683331,-86.1583502
7/10/2016,5370.5,Indianapolis,39.7683331,-86.1583502
7/10/2016,164680.49,Jacksonville,30.3321838,-81.655651
7/10/2016,3843.3,Jacksonville,30.3321838,-81.655651
7/10/2016,357786.69,Las Vegas,36.1662859,-115.149225
7/10/2016,13234.04,Las Vegas,36.1662859,-115.149225
