Date,TotalVolume,region,lon,lat
10/9/2016,101087.84,Albany,42.6511674,-73.754968
10/9/2016,2179.44,Albany,42.6511674,-73.754968
10/9/2016,452109.18,Atlanta,33.7490987,-84.3901849
10/9/2016,19264.55,Atlanta,33.7490987,-84.3901849
10/9/2016,676188.97,Baltimore Washington,39.2908816,-76.610759
10/9/2016,18612.87,Baltimore Washington,39.2908816,-76.610759
10/9/2016,84234.53,Boise,43.61656,-116.200835
10/9/2016,1457.64,Boise,43.61656,-116.200835
10/9/2016,468135.46,Boston,42.3602534,-71.0582912
10/9/2016,10417.82,Boston,42.3602534,-71.0582912
10/9/2016,135059.42,Buffalo Rochester,43.1519085,-77.659047
10/9/2016,1118.55,Buffalo Rochester,43.1519085,-77.659047
10/9/2016,5375978.5,California,36.7014631,-118.7559974
10/9/2016,128966.95,California,36.7014631,-118.7559974
10/9/2016,178235.75,Charlotte,35.2270869,-80.8431268
10/9/2016,10308.86,Charlotte,35.2270869,-80.8431268
10/9/2016,515146.04,Chicago,41.8755616,-87.6244212
10/9/2016,26995.26,Chicago,41.8755616,-87.6244212
10/9/2016,276819.57,Cincinnati Dayton,39.1099604,-84.537681
10/9/2016,15218.52,Cincinnati Dayton,39.1099604,-84.537681
10/9/2016,120833.05,Columbus,39.9622601,-83.0007065
10/9/2016,15870,Columbus,39.9622601,-83.0007065
10/9/2016,1162334.53,Dallas Fort Worth,32.58958,-96.9697268
10/9/2016,28837.82,Dallas Fort Worth,32.58958,-96.9697268
10/9/2016,758236.76,Denver,39.7391428,-104.984696
10/9/2016,19651.23,Denver,39.7391428,-104.984696
10/9/2016,253886.8,Detroit,42.3315509,-83.0466403
10/9/2016,27051.5,Detroit,42.3315509,-83.0466403
10/9/2016,116477.56,Grand Rapids,42.9632405,-85.6678639
10/9/2016,1434.77,Grand Rapids,42.9632405,-85.6678639
10/9/2016,219089.52,Harrisburg Scranton,41.4086874,-75.6621294
10/9/2016,4687.32,Harrisburg Scranton,41.4086874,-75.6621294
10/9/2016,231063.21,Hartford Springfield,42.1184111,-72.8573671
10/9/2016,6836.11,Hartford Springfield,42.1184111,-72.8573671
10/9/2016,1075303.77,Houston,29.7589382,-95.3676974
10/9/2016,41224.63,Houston,29.7589382,-95.3676974
10/9/2016,143911.76,Indianapolis,39.7683331,-86.1583502
10/9/2016,3479.15,Indianapolis,39.7683331,-86.1583502
10/9/2016,135520.48,Jacksonville,30.3321838,-81.655651
10/9/2016,2187.6,Jacksonville,30.3321838,-81.655651
10/9/2016,276030.7,Las Vegas,36.1662859,-115.149225
10/9/2016,5771.2,Las Vegas,36.1662859,-115.149225
10/9/2016,2766529.12,Los Angeles,34.0536834,-118.2427669
10/9/2016,72073.73,Los Angeles,34.0536834,-118.2427669
10/9/2016,78262.36,Louisville,38.2542376,-85.759407
10/9/2016,4017.83,Louisville,38.2542376,-85.759407
10/9/2016,410181.24,Miami Ft Lauderdale,26.0917308,-80.1359398
10/9/2016,1613.43,Miami Ft Lauderdale,26.0917308,-80.1359398
10/9/2016,156477.24,Nashville,36.1622296,-86.7743531
10/9/2016,16638.93,Nashville,36.1622296,-86.7743531
10/9/2016,233898.8,New Orleans,29.9499323,-90.0701156
10/9/2016,994.05,New Orleans,29.9499323,-90.0701156
10/9/2016,1031060.45,New York,40.7308619,-73.9871558
10/9/2016,26463.29,New York,40.7308619,-73.9871558
10/9/2016,267399.38,Orlando,28.5421097,-81.3790388
10/9/2016,3382,Orlando,28.5421097,-81.3790388
10/9/2016,355667.75,Philadelphia,39.9524152,-75.1635755
10/9/2016,6701.46,Philadelphia,39.9524152,-75.1635755
10/9/2016,885661.32,Phoenix Tucson,32.1706314,-110.8767957
10/9/2016,5962.78,Phoenix Tucson,32.1706314,-110.8767957
10/9/2016,89506.29,Pittsburgh,40.4416941,-79.9900861
10/9/2016,9599.33,Pittsburgh,40.4416941,-79.9900861
10/9/2016,598035.57,Portland,45.5202471,-122.6741949
10/9/2016,18266.3,Portland,45.5202471,-122.6741949
10/9/2016,254093.87,Raleigh Greensboro,36.080299,-79.758384
10/9/2016,14282.79,Raleigh Greensboro,36.080299,-79.758384
10/9/2016,213460.34,Richmond Norfolk,37.5675205,-77.4674126
10/9/2016,10827.2,Richmond Norfolk,37.5675205,-77.4674126
10/9/2016,118935.46,Roanoke,37.274532,-79.96020968
10/9/2016,12750.65,Roanoke,37.274532,-79.96020968
10/9/2016,370422.62,Sacramento,38.5815719,-121.4943996
10/9/2016,5634.61,Sacramento,38.5815719,-121.4943996
10/9/2016,473046.6,San Diego,32.7174209,-117.1627714
10/9/2016,10499.71,San Diego,32.7174209,-117.1627714
10/9/2016,673082.26,San Francisco,37.7647993,-122.4629897
10/9/2016,20761.25,San Francisco,37.7647993,-122.4629897
10/9/2016,556874.5,Seattle,47.6038321,-122.3300624
10/9/2016,23673.82,Seattle,47.6038321,-122.3300624
10/9/2016,262764.71,South Carolina,33.6874388,-80.4363743
10/9/2016,8734.25,South Carolina,33.6874388,-80.4363743
10/9/2016,76241.91,Spokane,47.6579425,-117.4212265
10/9/2016,1792.53,Spokane,47.6579425,-117.4212265
10/9/2016,125599.65,St Louis,38.6272733,-90.1978889
10/9/2016,8098.83,St Louis,38.6272733,-90.1978889
10/9/2016,69593.63,Syracuse,43.0481221,-76.1474244
10/9/2016,1007.51,Syracuse,43.0481221,-76.1474244
10/9/2016,337370.09,Tampa,27.9477595,-82.458444
10/9/2016,4094.16,Tampa,27.9477595,-82.458444
10/9/2016,732830.17,West Texas New Mexico,26.2711968,-98.3266103
10/9/2016,6223.98,West Texas New Mexico,26.2711968,-98.3266103
